Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
JANUARY,,,,,,
30,6:10,5:48,12:15,16:40,17:21,18:45

MAY,,,,,,
1,6:10,5:49,12:00,16:40,17:21,18:45
2,6:10,5:49,12:15,16:40,17:20,18:45
3,6:10,5:49,12:15,16:40,17:20,18:45
4,6:15,5:50,12:15,16:40,17:19,18:45
5,6:15,5:50,12:15,16:40,17:19,18:45
6,6:15,5:50,12:15,16:40,17:18,18:45
7,6:15,5:51,12:15,16:40,17:18,18:45
8,6:15,5:51,12:00,16:40,17:18,18:45
9,6:15,5:51,12:15,16:40,17:17,18:45
10,6:15,5:52,12:15,16:40,17:17,18:45
11,6:20,5:52,12:15,16:40,17:16,18:45
12,6:20,5:53,12:15,16:40,17:16,18:45
13,6:20,5:53,12:15,16:40,17:16,18:45
14,6:20,5:54,12:15,16:40,17:15,18:45
15,6:20,5:54,12:00,16:40,17:15,18:45
16,6:25,5:55,12:15,16:40,17:15,18:45
17,6:25,5:55,12:15,16:40,17:15,18:45
18,6:25,5:56,12:15,16:40,17:14,18:45
19,6:25,5:56,12:15,16:40,17:14,18:45
20,6:25,5:57,12:15,16:40,17:14,18:45
21,6:25,5:57,12:15,16:40,17:14,18:45
22,6:25,5:58,12:00,16:40,17:14,18:45
23,6:30,5:58,12:15,16:40,17:13,18:45
24,6:30,5:59,12:15,16:40,17:13,18:45
25,6:30,5:59,12:15,16:40,17:13,18:45
26,6:30,6:00,12:15,16:40,17:13,18:45
27,6:30,6:00,12:15,16:40,17:13,18:45
28,6:35,6:01,12:15,16:40,17:13,18:45
29,6:35,6:01,12:00,16:40,17:13,18:45
30,6:35,6:02,12:15,16:40,17:13,18:45
31,6:35,6:02,12:15,16:40,17:13,18:45

JUNE,,,,,,
1,6:35,6:03,12:15,16:40,17:13,18:45
2,6:40,6:03,12:15,16:40,17:13,18:45
3,6:40,6:04,12:15,16:40,17:13,18:45
4,6:40,6:04,12:15,16:40,17:13,18:45
5,6:40,6:05,12:00,16:40,17:14,18:45
6,6:40,6:05,12:15,16:40,17:14,18:45
7,6:45,6:06,12:15,16:40,17:14,18:45
8,6:45,6:06,12:15,16:40,17:14,18:45
9,6:45,6:07,12:15,16:40,17:14,18:45
10,6:45,6:07,12:15,16:40,17:14,18:45
11,6:45,6:07,12:15,16:40,17:14,18:45
12,6:50,6:08,12:00,16:40,17:15,18:45
13,6:50,6:08,12:15,16:40,17:15,18:45
14,6:50,6:09,12:15,16:40,17:15,18:45
15,6:50,6:09,12:15,16:40,17:15,18:45
16,6:50,6:10,12:15,16:40,17:15,18:45
17,6:50,6:10,12:15,16:40,17:16,18:45
18,6:50,6:10,12:15,16:40,17:16,18:45
19,6:50,6:11,12:00,16:40,17:16,18:45
20,6:50,6:11,12:15,16:40,17:16,18:45
21,6:50,6:11,12:15,16:40,17:17,18:45
22,6:50,6:11,12:15,16:40,17:17,18:45
23,6:50,6:12,12:15,16:40,17:17,18:45
24,6:50,6:12,12:15,16:40,17:17,18:45
25,6:50,6:12,12:15,16:40,17:18,18:45
26,6:50,6:12,12:00,16:40,17:18,18:45
27,6:50,6:12,12:15,16:40,17:18,18:45
28,6:50,6:13,12:15,16:40,17:19,18:45
29,6:50,6:13,12:15,16:40,17:19,18:45
30,6:50,6:13,12:15,16:40,17:19,18:45

JULY,,,,,,
1,6:50,6:13,12:15,16:40,17:20,18:45
2,6:50,6:13,12:15,16:40,17:20,18:45
3,6:50,6:13,12:00,16:40,17:20,18:45
4,6:50,6:13,12:15,16:40,17:21,18:45
5,6:50,6:13,12:15,16:40,17:21,18:45
6,6:50,6:13,12:15,16:40,17:21,18:45
7,6:50,6:13,12:15,16:40,17:22,18:45
8,6:50,6:13,12:15,16:40,17:22,18:45
9,6:50,6:13,12:15,16:40,17:23,18:45
10,6:50,6:13,12:00,16:40,17:23,18:45
11,6:50,6:12,12:15,16:40,17:23,18:45
12,6:50,6:12,12:15,16:40,17:24,18:45
13,6:50,6:12,12:15,16:40,17:24,18:45
14,6:50,6:12,12:15,16:40,17:24,19:00
15,6:50,6:12,12:15,16:40,17:25,19:00
16,6:50,6:12,12:15,16:40,17:25,19:00
17,6:50,6:11,12:00,16:40,17:25,19:00
18,6:50,6:11,12:15,16:40,17:26,19:00
19,6:50,6:11,12:15,16:40,17:26,19:00
20,6:50,6:11,12:15,16:40,17:27,19:00
21,6:45,6:10,12:15,16:40,17:27,19:00
22,6:45,6:10,12:15,16:40,17:27,19:00
23,6:45,6:10,12:15,16:40,17:28,19:00
24,6:45,6:09,12:00,16:40,17:28,19:00
25,6:45,6:09,12:15,16:40,17:28,19:00
26,6:40,6:09,12:15,16:40,17:29,19:00
27,6:40,6:08,12:15,16:40,17:29,19:00
28,6:40,6:08,12:15,16:40,17:29,19:00
29,6:40,6:07,12:15,16:40,17:30,19:00
30,6:40,6:07,12:15,16:40,17:30,19:00
31,6:40,6:07,12:00,16:40,17:30,19:00

AUGUST,,,,,,
1,6:40,6:06,12:15,16:40,17:30,19:00
2,6:35,6:06,12:15,16:40,17:31,19:00
3,6:35,6:05,12:15,16:40,17:31,19:00
4,6:35,6:05,12:15,16:40,17:31,19:00
5,6:35,6:04,12:15,16:40,17:31,19:00
6,6:35,6:04,12:15,16:40,17:32,19:00
7,6:30,6:03,12:00,16:40,17:32,19:00
8,6:30,6:03,12:15,16:40,17:32,19:00
9,6:30,6:02,12:15,16:40,17:32,19:00
10,6:30,6:01,12:15,16:40,17:32,19:00
11,6:30,6:01,12:15,16:40,17:33,19:15
12,6:25,6:00,12:15,16:40,17:33,19:15
13,6:25,5:59,12:15,16:40,17:33,19:15
14,6:25,5:59,12:00,16:40,17:33,19:15
15,6:25,5:58,12:15,16:40,17:33,19:15
16,6:25,5:57,12:15,16:40,17:34,19:15
17,6:20,5:57,12:15,16:40,17:34,19:15
18,6:20,5:56,12:15,16:40,17:34,19:15
19,6:20,5:55,12:15,16:40,17:34,19:15
