Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
1,5:00,5:58,12:15,16:15,17:19,19:00
2,5:00,6:00,12:15,16:15,17:18,19:00
3,5:00,6:01,12:15,16:15,17:18,19:00
4,5:00,6:01,12:15,16:15,17:18,19:00
5,5:00,6:01,12:00,16:15,17:18,19:00
6,5:00,6:02,12:15,16:15,17:18,19:00
7,5:00,6:02,12:15,16:15,17:18,19:00
8,5:00,6:02,12:15,16:15,17:18,19:00
9,5:00,6:02,12:15,16:15,17:18,19:00
10,5:00,6:03,12:15,16:15,17:18,19:00
11,5:00,6:03,12:15,16:15,17:19,19:00
12,5:00,6:03,12:00,16:15,17:19,19:00
13,5:00,6:04,12:15,16:15,17:19,19:00
14,5:00,6:04,12:15,16:15,17:19,19:00
15,5:00,6:04,12:15,16:15,17:19,19:00
16,5:00,6:05,12:15,16:15,17:19,19:00
17,5:00,6:05,12:15,16:15,17:19,19:00
18,5:00,6:05,12:15,16:15,17:20,19:00
19,5:00,6:05,12:00,16:15,17:20,19:00
20,5:00,6:06,12:15,16:15,17:20,19:00
21,5:00,6:06,12:15,16:15,17:20,19:00
22,5:00,6:06,12:15,16:15,17:20,19:00
23,5:00,6:06,12:15,16:15,17:21,19:00
24,5:00,6:06,12:15,16:15,17:21,19:00
25,5:00,6:07,12:15,16:15,17:21,19:00
26,5:00,6:07,12:00,16:15,17:21,19:00
27,5:00,6:07,12:15,16:15,17:21,19:00
28,5:00,6:07,12:15,16:15,17:22,19:00
29,5:00,6:07,12:15,16:15,17:22,19:00
30,5:00,6:07,12:15,16:15,17:22,19:00
