Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
1,5:00,5:27,12:35,17:00,18:24,20:00
2,5:00,5:28,12:35,17:00,18:24,20:00
3,5:00,5:28,12:35,17:00,18:24,20:00
4,5:00,5:29,12:35,17:00,18:24,20:00
5,5:00,5:29,12:35,17:00,18:23,20:00
6,5:00,5:30,12:35,17:00,18:23,20:00
7,5:00,5:30,12:35,17:00,18:23,20:00
8,5:00,5:30,12:35,17:00,18:22,20:00
9,5:00,5:31,12:35,17:00,18:22,20:00
10,5:00,5:31,12:35,17:00,18:22,20:00
11,5:00,5:32,12:35,17:00,18:21,20:00
12,5:00,5:32,12:35,17:00,18:21,20:00
13,5:00,5:33,12:35,17:00,18:20,20:00
14,5:00,5:33,12:35,17:00,18:17,20:00
15,5:00,5:33,12:35,17:00,18:19,20:00
16,5:00,5:34,12:35,17:00,18:19,20:00
17,5:00,5:34,12:35,17:00,18:19,20:00
18,5:00,5:34,12:35,17:00,18:18,19:45
19,5:00,5:35,12:35,17:00,18:18,19:45
20,5:00,5:35,12:35,17:00,18:17,19:45
21,5:00,5:35,12:35,17:00,18:16,19:45
22,5:00,5:36,12:35,17:00,18:16,19:45
23,5:00,5:36,12:35,17:00,18:15,19:45
24,5:00,5:36,12:35,17:00,18:15,19:45
25,5:05,5:37,12:35,16:45,18:14,19:45
26,5:05,5:37,12:35,16:45,18:14,19:45
27,5:05,5:37,12:35,16:45,18:13,19:45
28,5:05,5:37,12:35,16:45,18:12,19:45
